Academic Year (Enrolment),Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Eircode,School Latitude,School Longitude,Email,Phone No.,Principal Name,Local Authority Description,DEIS (Y/N),Irish Classification Description,Gaeltacht Indicator (Y/N),Island (Y/N),Ethos Description,Female,Male,Total
2023,15122V,ST BERNARDS MIXED N S,Abbeylara,Co. Longford,,,Longford,N39K773,54,-7,stbernardsns@gmail.com,0436686806,Aiden Reynolds,Longford County Council,Y,No subjects through Irish,N,N,Catholic,12,15,27
2023,15132B,HAROLD BOYS N S,St. Patrick's Road,Dalkey,Co. Dublin,,Dublin,A96PY94,53,-6,info@haroldboysdalkey.ie,012856193,Pauline Lennon,Dun Laoghaire Rathdown,N,No subjects through Irish,N,N,Catholic,,125,125
2023,15135H,BANTRY BOYS SENIOR NATIONAL SCHOOL,Seskin,Bantry,Co. Cork,,Cork,P75NY51,52,-9,info@sfbns.net,02750477,Brian Gleeson,Cork County Council,N,No subjects through Irish,N,N,Catholic,,129,129
2023,15140A,BALLINAGREE MXD N S,Ballinagree,"Macroom,",,,Cork,P12Y938,52,-9,office@bmns.ie,02642466,SHANE LEHANE,Cork County Council,N,No subjects through Irish,N,N,Catholic,30,30,60
2023,15142E,NAOMH MICHEAL,Donaghmoyne,Carrickmacross,Co Monaghan,,Monaghan,A81EA37,54,-7,stmichaelsnsdonaghmoyne@gmail.com,0429662284,Fiona Whelan,Monaghan County Council,N,No subjects through Irish,N,N,Catholic,55,42,97
2023,15143G,LISDOONAN N S,Lisdonnan,Carrickmacross,Co. Monaghan,,Monaghan,A81WR65,54,-7,office@lisdoonanns.ie,0429662375,Ronan Duffy,Monaghan County Council,N,No subjects through Irish,N,N,Catholic,72,81,153
2023,15154L,NAOMH DOMINIC N S,Kenagh,Co. Longford,,,Longford,N39NC80,54,-8,naomhdominicns@gmail.com,0433322456,Miriam Dennigan,Longford County Council,N,No subjects through Irish,N,N,Catholic,66,63,129
2023,15157R,MOUNT BRUIS N S,Mount Bruis,Tipperary Town,,,Tipperary,E34RD26,52,-8,mountbruis6@gmail.com,0861805174,Cathy Cunningham,Tipperary (Sr) County Council,N,No subjects through Irish,N,N,Catholic,35,32,67
2023,15160G,THE ROWER MIXED N S,The Rower,Thomastown,Co. Kilkenny,,Kilkenny,R95T623,52,-7,therowerschool@gmail.com,051423838,MARY MC CORMACK,Kilkenny County Council,N,No subjects through Irish,N,N,Catholic,71,55,126
2023,15165Q,BALLINTOTAS N S,Ballintotas,Castlemartyr,Co. Cork,,Cork,P25Y272,52,-8,ballintotasns@gmail.com,0214667513,Irene Finn,Cork County Council,N,No subjects through Irish,N,N,Catholic,49,55,104
2023,15170J,CASHELSHANAGHAN N S,Ballymaleel,Letterkenny,Co. Donegal,,Donegal,F92RF67,55,-8,cashelshanaghan@gmail.com,0749151803,Julie Carr,Donegal County Council,N,No subjects through Irish,N,N,Presbyterian,13,11,24
2023,15177A,CARRIGDUFF NAT SCHOOL,Carrigduff,Bunclody,Enniscorthy,Co. Wexford,Wexford,Y21TP49,53,-7,officecarrigduffns@gmail.com,0539377346,Carolyn Good,Wexford County Council,N,No subjects through Irish,N,N,Church Of Ireland,46,42,88
2023,15194A,NAOMH CAILLIN,Commons,Fenagh,Co. Leitrim,,Leitrim,N41TK60,54,-8,fenaghns@gmail.com,0719645244,Orla Redican,Leitrim County Council,N,No subjects through Irish,N,N,Catholic,53,41,94
2023,15208I,Scoil an tStratha Mh¢ir,M¡n an L b in,Leitir Ceanainn,Co. Dh£n na nGall,,Donegal,F92P280,55,-8,stramore99@gmail.com,0749137454,Conchubhar à Fr¡l,Donegal County Council,Y,All subjects through Irish,Y,N,Catholic,39,44,83
2023,15217J,ARDKEERIN N S,Ardeeran,Riverstown,Co. Sligo,,Sligo,F52E244,54,-8,admin@ardkeeran.com,0719165411,Edel Lavin,Sligo County Council,N,No subjects through Irish,N,N,Catholic,59,54,113
2023,15221A,ANNAGH N S,Annagh,Miltown Malbay,Co. Clare,,Clare,V95NP38,53,-9,secretary@annaghns.com,0657084850,Michael King,Clare County Council,Y,No subjects through Irish,N,N,Catholic,51,36,87
2023,15226K,CAHERLINE N S,Caherline,Caherconlish,Co. Limerick,,Limerick,V94KX74,53,-8,secretary@caherlinens.ie,061351657,Gear¢id Power,Limerick County Council,N,No subjects through Irish,N,N,Catholic,98,79,177
2023,15253N,ST PATRICKS GIRLS NS,Cambridge Road,Ringsend,Dublin 4,,Dublin,D04CH58,53,-6,ringsendgns@gmail.com,016685928,Anne Smith,Dublin City Council,Y,No subjects through Irish,N,N,Catholic,146,,146
2023,15255R,DON N S,Cortoonmore,Ballaghaderreen,,,Roscommon,F45XV82,54,-9,office@thedonnationalschool.com,0949880478,Emma Callaghan,Roscommon County Council,Y,No subjects through Irish,N,N,Catholic,28,20,48
2023,15257V,QUIGNAMANGER N S,Creggs Road,Ballina,Co. Mayo,,Mayo,F26YX95,54,-9,quaynationalschool@gmail.com,09622842,Mr Se n Gallagher,Mayo County Council,N,No subjects through Irish,N,N,Catholic,173,182,355
2023,15259C,S N N MAOLMHAODHAGH C,Anne Stret,Dundalk,Co. Louth,,Louth,A91N286,54,-6,principal@stmalachysgirls.ie,0429338156,Brigid Mary Galligan,Louth County Council,N,No subjects through Irish,N,N,Catholic,250,,250
2023,15260K,S N N MAOLMHAODHAGH N,Anne Street,Dundalk,Co. Louth,,Louth,A91N286,54,-6,office@stmalachysinfants.ie,0429338130,Teresa McCarthy,Louth County Council,N,No subjects through Irish,N,N,Catholic,106,131,237
2023,15279I,CLOONEY N S,Carrahan,Tulla,Co. Clare,,Clare,V95WC56,53,-9,clooneyns@gmail.com,0656835806,Marie Minogue,Clare County Council,N,No subjects through Irish,N,N,Catholic,24,22,46
2023,15284B,TANEY N S,Sydenham Villas,Dundrum,Dublin 14,,Dublin,D14PN29,53,-6,rfraser@taneyschool.ie,012985015,Rachel Fraser,Dun Laoghaire Rathdown,N,No subjects through Irish,N,N,Church Of Ireland,181,209,390
2023,15285D,Scoil na gCreagacha Dubha,Sandy Lane,Blackrock,Co. Louth,,Louth,A91AK57,54,-6,office@blackrockns.ie,0429321598,Catherine Dempsey,Louth County Council,N,No subjects through Irish,N,N,Catholic,233,228,461
2023,15291V,STREAMSTOWN MIXED N S,Streamstown,Co. Westmeath,,,Westmeath,N91XE40,53,-8,ricoclinton@yahoo.com,0449226901,Richard Clinton,Westmeath County Council,N,No subjects through Irish,N,N,Catholic,50,54,104
2023,15299O,GAILE N S,Holycross,Thurles,Co. Tipperary,,Tipperary,E41YK70,53,-8,gaile.ias23@gmail.com,0879663959,Donal Ryan,Tipperary (Sr) County Council,Y,No subjects through Irish,N,N,Catholic,13,17,30
2023,15301V,KILDYSART N S,Ennis Road,Kildysart,Co. Clare,,Clare,V95DK19,53,-9,Kildysartns.ias@eircom.net,0656832477,Kathleen Ryan,Clare County Council,N,No subjects through Irish,N,N,Catholic,64,54,118
2023,15307K,DALYSTOWN N S,Dalystown,Mullingar,Co. Westmeath,,Westmeath,N91W207,53,-7,dalystownns@gmail.com,0449223604,Brendan Moore,Westmeath County Council,N,No subjects through Irish,N,N,Catholic,36,48,84
2023,15308M,ATHLEAGUE N S,Athleague,Co. Roscommon,,,Roscommon,F42VF95,54,-8,info@athleaguenationalschool.ie,0906663420,Avril Egan,Roscommon County Council,N,No subjects through Irish,N,N,Catholic,43,61,104
2023,15315J,ST GEORGES N S,Naul Road,Balbriggan,Co. Dublin,,Dublin,K32KC95,54,-6,office@stgeorgesns.com,018410107,Elaine Browne,Fingal County Council,N,No subjects through Irish,N,N,Church Of Ireland,192,171,363
2023,15318P,GLENBEG N S,Glenbeg,Dungarvan,Co. Waterford,,Waterford,X35P272,52,-8,office@glenbegnationalschool.ie,05843266,Catherine Fitzgerald,Waterford County Council,N,No subjects through Irish,N,N,Catholic,68,77,145
2023,15320C,ST MICHAELS NS,Sexton Street,Limerick,,,Limerick,V94HX23,53,-9,stmichaelsinfantschool@gmail.com,061317672,Tracie Tobin,Limerick City Council,Y,No subjects through Irish,N,N,Catholic,52,80,132
2023,15325M,CLONBULLOGUE N S,Clonbullogue,Co. Offaly,,,Offaly,R45DD79,53,-7,stpatricksnsclonbullogue@gmail.com,0469730123,Brigid Bennett,Offaly County Council,N,No subjects through Irish,N,N,Catholic,41,50,91
2023,15329U,Bunscoil Louis Naofa,Cloughvalley,Carrickmacross,Co. Monaghan,,Monaghan,A81DT82,54,-7,bunscoilln@gmail.com,0429661808,Maeve Callen,Monaghan County Council,N,No subjects through Irish,N,N,Catholic,265,,265
2023,15331H,S N BAILE NUA,Baile Nua,Maigh Cuilinn,Co. na Gaillimhe,,Galway,H91F6T7,53,-9,scoilbhailenua@gmail.com,091555040,Aine Ni Fhogartaigh,Galway County Council,N,All subjects through Irish,Y,N,Catholic,35,35,70
2023,15337T,S N MHUIRE,Castlegal,Cliffoney,Co. Sligo,,Sligo,F91DA00,54,-8,castlegalns@yahoo.ie,0719166758,Roisin O'Grady,Sligo County Council,N,No subjects through Irish,N,N,Catholic,15,11,26
2023,15340I,CARIGEEN N S,Carrigeen,Co. Kilkenny,,,Kilkenny,X91F656,52,-7,carrigeen.scoil@gmail.com,051895423,Sinead Murphy,Kilkenny County Council,N,No subjects through Irish,N,N,Catholic,55,69,124
2023,15342M,S N NAOMH MHUIRE,Knockconor,Keash,Ballymote,Co. Sligo,Sligo,F56NT66,54,-8,keashns@gmail.com,0719189166,Caroline O'Dowd,Sligo County Council,N,No subjects through Irish,N,N,Catholic,19,30,49
2023,15346U,Scoil Ab n Naofa,Baile Mh£irne,Maigh Chromtha,Co. Chorca¡,,Cork,P12HW02,52,-9,scoilaban@gmail.com,02645407,Conchur à Luasaigh,Cork County Council,N,All subjects through Irish,Y,N,Catholic,76,71,147
2023,15350L,STONEHALL N S,Stonehall,Newmarket-on-Fergus,Co. Clare,,Clare,V95EY06,53,-9,stonehallschool@gmail.com,061362863,Diarmaid McMahon,Clare County Council,N,No subjects through Irish,N,N,Catholic,48,59,107
2023,15354T,CAMOLIN N S,Camolin,Enniscorthy,Co. Wexford,,Wexford,Y21F8H2,53,-6,camolinnationalschool@gmail.com,0539383455,Elaine Bolger,Wexford County Council,Y,No subjects through Irish,N,N,Catholic,41,43,84
2023,15359G,SHILLELAGH NO 1 N S,Ballard,Shillelagh,Co. Wicklow,,Wicklow,Y14VH31,53,-7,shillelaghno1@gmail.com,0539429141,Sonya Burgess,Wicklow County Council,N,No subjects through Irish,N,N,Church Of Ireland,11,10,21
2023,15362S,S N MICHIL NAOFA,Mullinahone,Thurles,Co. Tipperary,,Tipperary,E41ED30,53,-8,secretary@mullinahonens.ie,0529153304,Tom Butler,Tipperary (Sr) County Council,Y,No subjects through Irish,N,N,Catholic,76,63,139
2023,15367F,RIVERCHAPEL N S,Riverchapel,Gorey,Co. Wexford,,Wexford,Y25DE28,53,-6,secretary@riverchapelns.com,0539425540,Martina Prendergast,Wexford County Council,Y,No subjects through Irish,N,N,Catholic,145,164,309
2023,15370R,KILLALOE BOYS N S,Convent Hill,Killaloe,Co. Clare,,Clare,V94D590,53,-8,principal@killaloeboysns.ie,061376407,Kieran Corcoran,Clare County Council,Y,No subjects through Irish,N,N,Catholic,,122,122
2023,15378K,ROCKFIELD N S,Coolaney,Co. Sligo,,,Sligo,F56FW32,54,-9,info@rockfieldns.eu,0719130539,Marlene Scanlon,Sligo County Council,N,No subjects through Irish,N,N,Catholic,96,99,195
2023,15380U,DROMAGH MIXED N S,Dromagh,Mallow,Co. Cork,,Cork,P51A037,52,-9,nsdromagh@gmail.com,02956067,James McAuliffe,Cork County Council,N,No subjects through Irish,N,N,Catholic,8,13,21
2023,15382B,DRUMLEASE N S,Drumlease,Dromahair,Co. Leitrim,,Leitrim,F91T946,54,-8,drumleasens.ias@gmail.com,0719164586,Marie Brennan,Leitrim County Council,N,No subjects through Irish,N,N,Catholic,84,75,159
2023,15395K,MOUNT BOLUS N S,Mount Bolus,Tullamore,Co. Offaly,,Offaly,R35VH39,53,-8,mountbolusns@gmail.com,0579354946,Michelle Balfe,Offaly County Council,N,No subjects through Irish,N,N,Catholic,13,11,24
2023,15407O,SN BAILE THOMAIS,Ballythomas,Gorey,Co. Wexford,,Wexford,Y25W259,53,-6,ballythomasns@gmail.com,0539428343,Katherine Byrne,Wexford County Council,N,No subjects through Irish,N,N,Catholic,47,15,62
2023,15408Q,CONNOLLY N S,Connolly,Ennis,Co. Clare,,Clare,V95Y066,53,-9,connollynationalschool@gmail.com,0656839550,Sean O'Neill,Clare County Council,N,No subjects through Irish,N,N,Catholic,22,12,34
2023,15410D,KILCROHANE N S,Kilcrohane,Bantry,Co. Cork,,Cork,P75Y239,52,-10,kilcrohanens@gmail.com,02767285,Andrea Lane,Cork County Council,N,No subjects through Irish,N,N,Catholic,15,16,31
2023,15413J,BRIDESWELL N S,Brideswell,Athlone,Co. Roscommon,,Roscommon,N37P838,53,-8,brideswellns@gmail.com,0906488272,Orla Fogarty,Roscommon County Council,N,No subjects through Irish,N,N,Catholic,28,35,63
2023,15419V,OULART N S,Oulart,Gorey,Co. Wexford,,Wexford,Y25XK24,53,-6,oulartns2@oulartns.com,0539136177,Gr inne Ryan,Wexford County Council,N,No subjects through Irish,N,N,Catholic,73,70,143
2023,15420G,BALLYCANEW N S,Ballycanew,Gorey,Co. Wexford,,Wexford,Y25Y6W8,53,-6,ballycanewns@gmail.com,0539427496,Seamus Dempsey,Wexford County Council,Y,No subjects through Irish,N,N,Catholic,94,134,228
2023,15425Q,FAIRYMOUNT N S,Fairymount,Castlerea,Co. Roscommon,,Roscommon,F45AK07,54,-8,info@fairymountns.ie,0949870655,Catheriona Golden,Roscommon County Council,Y,No subjects through Irish,N,N,Catholic,21,15,36
2023,15431L,KILLAVILLE N S,Killavil,Ballymote,CO. Sligo,,Sligo,F56HX72,54,-9,killavilns@gmail.com,0719182795,Mr Bill Carty,Sligo County Council,Y,No subjects through Irish,N,N,Catholic,9,9,18
2023,15446B,TRUMMERA N S,Tromaire,Maighean R tha,Co. Laoise,,Laois,R32R5RF,53,-7,gaelscoilthromaire00@gmail.com,0578756306,µine Mhic Aodha Bhu¡,Laois County Council,N,All subjects through Irish,N,N,Catholic,16,19,35
2023,15452T,KILDALLON N S,Kildallan,Ballyconnell,Co. Cavan,,Cavan,H14Y902,54,-8,kildallanschool@gmail.com,0499526721,Pearse Mc Kenna,Cavan County Council,N,No subjects through Irish,N,N,Catholic,28,23,51
2023,15456E,BALLYSHANNON N S,Ballyshannon,Kilcullen,Co. Kildare,,Kildare,R56FF60,53,-7,ballyshannonprimary@gmail.com,045485309,Lorraine McGovern,Kildare County Council,N,No subjects through Irish,N,N,Catholic,60,70,130
2023,15475I,KILCONLY N S,Kilconly,Tuam,Co. Galway,,Galway,H54N529,54,-9,info@kilconlyns.com,09347775,Rebecca Samuels,Galway County Council,N,No subjects through Irish,N,N,Catholic,56,48,104
2023,15483H,ST LOUIS N S,Rathkenny,Navan,Co. Meath,,Meath,C15PH60,54,-7,rathkennyschool@gmail.com,0469054417,Laura Conaty,Meath County Council,N,No subjects through Irish,N,N,Catholic,8,14,22
2023,15484J,GLOUNTHAUNE MIXED N.S.,Glounthane,Co. Cork,,,Cork,T45AX78,52,-8,principal@sncn.ie,0214353645,Damien Irwin,Cork County Council,N,No subjects through Irish,N,N,Catholic,209,219,428
2023,15496Q,LEAFFONEY N S,Leaffoney,Kilglass,Co. Sligo,,Sligo,F26XD61,54,-9,leaffoneyns@gmail.com,09649291,Karen Gainfort,Sligo County Council,N,No subjects through Irish,N,N,Church Of Ireland,7,8,15
2023,15502I,KILLINKERE N S,Corratinner,Virginia,Co. Cavan,,Cavan,A82T959,54,-7,office@killinkerens.ie,0498547611,Mary Brady,Cavan County Council,N,No subjects through Irish,N,N,Catholic,89,88,177
2023,15512L,ST BRIGID'S PRIMARY SCHOOL,Station Road,Moate,Co. Westmeath,,Westmeath,N37TF86,53,-8,office@stbrigidsmoate.ie,0906481740,Cathy Gillivan,Westmeath County Council,N,No subjects through Irish,N,N,Catholic,180,55,235
2023,15516T,CLONPRIEST N S,Youghal,Co. Cork,,,Cork,P36DY22,52,-8,info@clonpriestns.com,02493722,James Leahy,Cork County Council,N,No subjects through Irish,N,N,Catholic,52,60,112
2023,15523Q,S N NAOMH IOSEF,Convent Road,Kinvara,Co. Galway,,Galway,H91X673,53,-9,domgall@gmail.com,091638171,Dominic Gallagher,Galway County Council,N,No subjects through Irish,N,N,Catholic,176,158,334
2023,15531P,"SCOIL MHUIRE,",Newtown,Ballinasloe,Co. Roscommon,,Roscommon,H53V270,53,-8,newtownnatschool@gmail.com,0909643043,Mary Parker,Roscommon County Council,N,No subjects through Irish,N,N,Catholic,37,56,93
2023,15537E,S N BAILE FINN,Ballyfin,Portlaoise,Co. Laois,,Laois,R32N920,53,-7,office@ballyfinns.ie,0578755225,Brigid Bennett,Laois County Council,N,No subjects through Irish,N,N,Catholic,116,97,213
2023,15539I,ST JOHNS NS,Logboy,Tulrahan,Claremorris,Co. Mayo,Mayo,F12FH94,54,-9,logbuins@gmail.com,0949646270,Karen Ronane,Mayo County Council,Y,No subjects through Irish,N,N,Catholic,16,14,30
2023,15540Q,BALLYDUFF B 2 N S,Ballyduff,Co. Waterford,,,Waterford,P51C673,52,-8,bailedubh@gmail.com,05860134,Mary Murphy,Waterford County Council,N,No subjects through Irish,N,N,Catholic,55,54,109
2023,15543W,TIBOHINE N S,Teevnacreeva,Tibohine,Castlerea,Co. Roscommon,Roscommon,F45A892,54,-9,tibohinens@gmail.com,0949870729,Mary Mitchell,Roscommon County Council,Y,No subjects through Irish,N,N,Catholic,32,27,59
2023,15545D,CASTLEPLUNKETT N S,Castleplunkett,Castlerea,Co Roscommon,,Roscommon,F45YA40,54,-8,castleplunkettns1@gmail.com,0949651260,Kathrina Grogan,Roscommon County Council,N,No subjects through Irish,N,N,Catholic,18,16,34
2023,15550T,BALLYHEEDA N S,Skehanagh,Ballinhassig,Co. Cork,,Cork,T12KT99,52,-9,jmccarthy@ballyheadans.ie,0214885066,Jacqui McCarthy,Cork County Council,N,No subjects through Irish,N,N,Catholic,77,87,164
2023,15554E,GORTNACART N S,Gortnacart,Ardara,Co. Donegal,,Donegal,F94HD54,55,-8,gortnacart1909@gmail.com,0749541799,Connell Herron,Donegal County Council,Y,No subjects through Irish,N,N,Catholic,16,13,29
2023,15555G,SCOIL CHOLMCILLE,Breaffy,Ballina,Co. Mayo,,Mayo,F26RW32,54,-9,principal@breaffyns.com,09622271,Vincent Duffy,Mayo County Council,N,No subjects through Irish,N,N,Catholic,119,122,241
2023,15556I,PRESENTATION PRIMARY SCHOOL,Station Road,Portarlington,Co. Laois,,Laois,R32HF43,53,-7,info@presprimary.ie,0578623007,Frankie Andrews,Laois County Council,N,No subjects through Irish,N,N,Catholic,514,11,525
2023,15557K,CLOONFAD N S,Cloonfad,Ballyhaunis,Co. Roscommon,,Roscommon,F35W407,54,-9,admin@cloonfadns.com,0949646259,Shane Morgan,Roscommon County Council,Y,No subjects through Irish,N,N,Catholic,77,66,143
2023,15560W,Bishop Harty NS,Ballinree,Nenagh,Co. Tipperary,,Tipperary,E45HF74,53,-8,bishophartyns@gmail.com,06729155,Tamara Hogan,Tipperary (Nr) County Council,N,No subjects through Irish,N,N,Catholic,44,47,91
2023,15562D,CLOCH AN TSIONNAIGH N S,Foxrock,Ballacolla,Abbeyleix,Co. Laois,Laois,R32XH26,53,-8,cloughns@gmail.com,0578738546,Martin Carroll,Laois County Council,N,No subjects through Irish,N,N,Catholic,25,33,58
2023,15563F,LISHEEN MIXED N S,Lisheen,Church Cross,Skibbereen,Co. Cork,Cork,P81HX88,52,-9,lisheen15563@gmail.com,02838481,Melissa Hodnett,Cork County Council,N,No subjects through Irish,N,N,Catholic,25,35,60
2023,15569R,SCOIL MOIBHI,Milverton,Skerries,Co. Dublin,,Dublin,K34WP77,54,-6,office@milvertonns.ie,018492467,Maria Lynam,Fingal County Council,N,No subjects through Irish,N,N,Catholic,32,55,87
2023,15571E,KILGLASS N S,Ballyglass,Enniscrone,Co. Sligo,,Sligo,F26E682,54,-9,kilglassns@gmail.com,09636688,Jarlath Brennan,Sligo County Council,Y,No subjects through Irish,N,N,Catholic,51,56,107
2023,15584N,GRANGE N S,Boyle,Co. Roscommon,,,Roscommon,F52CX43,54,-8,grangensboyle@gmail.com,0719663424,Martin Doherty,Roscommon County Council,N,No subjects through Irish,N,N,Catholic,13,17,30
2023,15592M,SN CEANN TRA MEASCAITHE,Ceann Tr ,Tr  L¡,Co. Chiarra¡,,Kerry,V92YK09,52,-10,scoilcheanntra@gmail.com,0669159868,Mary Devane,Kerry County Council,N,All subjects through Irish,Y,N,Catholic,22,36,58
2023,15594Q,GRANGE FERMOY N S,Grange,Fermoy,Co. Cork,,Cork,P61K240,52,-8,gnschoolfermoy@gmail.com,02532799,Sin‚ad Griffin,Cork County Council,N,No subjects through Irish,N,N,Catholic,71,58,129
2023,15597W,MACROOM BOYS SENIOR NATIONAL SCHOOL,Sleaveen East,Macroom,Co. Cork,,Cork,P12RV06,52,-9,info@stcolmansbnsmacroom.com,02642705,Martin Clancy,Cork County Council,N,No subjects through Irish,N,N,Catholic,7,189,196
2023,15614T,TAUGHMACONNELL N S,Taughmaconnell,Ballinasloe,Co. Roscommon,,Roscommon,H53DX66,53,-8,taughmaconnellns@gmail.com,0909683845,Tr¡ona McLoughlin,Roscommon County Council,N,No subjects through Irish,N,N,Catholic,59,51,110
2023,15618E,SANDFORD PARISH NATIONAL SCHOOL,Sandford Close,Ranelagh,Dublin 6,,Dublin,D06V2V6,53,-6,jkirwan@sandfordparishns.ie,014974277,Jennie Kirwan,Dublin City Council,N,No subjects through Irish,N,N,Church Of Ireland,101,111,212
2023,15622S,ST PATRICKS NS,Chapelizod Village,Dublin 20,,,Dublin,D20TW71,53,-6,chapelizodstpatricks@gmail.com,016265752,Kieran Tierney,Dublin City Council,N,No subjects through Irish,N,N,Catholic,88,113,201
2023,15625B,ST CATHERINES WEST N S,Donore Avenue,South Circular Road,Dublin 8,,Dublin,D08YR66,53,-6,secretary@stcatherinesns.net,014542679,Karen Jordan,Dublin City Council,N,No subjects through Irish,N,N,Church Of Ireland,92,98,190
2023,15627F,ST MURAS N S,Burnfoot,Lifford,Co. Donegal,,Donegal,F93TW54,55,-7,saintmuras@gmail.com,0749360325,Rory Reynolds,Donegal County Council,N,No subjects through Irish,N,N,Catholic,113,96,209
2023,15638K,EDENDERRY 2 N S,Monasteroris National School,Edenderry,,,Offaly,R45HD23,53,-7,info@monasterorisns.com,0469732231,Yvonne Payne,Offaly County Council,N,No subjects through Irish,N,N,Church Of Ireland,23,29,52
2023,15644F,TIERNABOUL N S,KILLARNEY,CO KERRY,,,Kerry,V93D362,52,-9,tiernaboul1ns@gmail.com,0646634767,Maria Breen,Kerry County Council,N,No subjects through Irish,N,N,Catholic,32,33,65
2023,15646J,COOMHOLA N S,Cooryleary,Bantry,Co. Cork,,Cork,P75W984,52,-9,principal@coomholans.ie,02751173,Sophie O'Shea,Cork County Council,N,No subjects through Irish,N,N,Catholic,48,44,92
2023,15650A,CORDUFF N S,Lusk,Co. Dublin,,,Dublin,K45XV34,54,-6,office@corduffns.ie,018438274,Anna McKeown,Fingal County Council,N,No subjects through Irish,N,N,Catholic,40,45,85
2023,15654I,KNOCKCONNON N S,Knockconan,Emyvale,Co. Monaghan,,Monaghan,H18DY07,54,-7,info@knockconanns.ie,04787244,Bernard Sheehan,Monaghan County Council,N,No subjects through Irish,N,N,Catholic,52,59,111
2023,15656M,BALLYKILMURRY N S,Ballinamere,Tullamore,Co. Offaly,,Offaly,R35AW83,53,-8,secretary@ballinamerens.ie,0579341687,Deirdre Cusack,Offaly County Council,N,No subjects through Irish,N,N,Catholic,100,104,204
2023,15664L,GRANLAHAN G N S,Granlahan,Ballinlough,Co. Roscommon,,Roscommon,F45FN12,54,-9,granlahan_ns@yahoo.ie,0949640366,Michelle Devine,Roscommon County Council,Y,No subjects through Irish,N,N,Catholic,21,18,39
2023,15676S,PADRAIG NAOFA N S,St Patricks Road,Wicklow,,,Wicklow,A67HP90,53,-6,office@stpatsnswicklow.ie,040467415,Lorraine Dempsey,Wicklow County Council,Y,No subjects through Irish,N,N,Catholic,154,204,358
2023,15680J,Scoil an Spioraid Naomh,Roxborough,Ballysheedy,Co. Limerick,,Limerick,V94WA29,53,-9,principal@sprox.ie,061228041,Ciara U¡ Mhaid¡n,Limerick County Council,N,No subjects through Irish,N,N,Catholic,129,143,272
2023,15685T,ATHEA N SCHOOL,Athea,Co. Limerick,,,Limerick,V94F226,52,-9,atheans.ias@eircom.net,06842333,Margaret Flaherty,Limerick County Council,N,No subjects through Irish,N,N,Catholic,63,95,158
2023,15692Q,BILBOA N SCHOOL,Bilaboa,Cappaghmore,Co. Limerick,,Limerick,V94KN61,53,-8,info@bilboans.ie,061381652,Ciaran Sheehan,Limerick County Council,N,No subjects through Irish,N,N,Catholic,51,51,102
2023,15696B,SILVERMINES N S,Silvermines,Nenagh,Co. Tipperary,,Tipperary,E45T658,53,-8,silverminesns@gmail.com,06725444,James Hayden,Tipperary (Nr) County Council,N,No subjects through Irish,N,N,Catholic,33,28,61
2023,15700M,CLOVERFIELD N S,Cloverfield,Dromkeen,Co. Limerick,,Limerick,V94DW42,53,-8,cloverfieldns2013@gmail.com,061384566,Noreen O'Dea,Limerick County Council,N,No subjects through Irish,N,N,Catholic,26,30,56
2023,15701O,BARTLEMY N S,RATHCORMAC,FERMOY,CO CORK,,Cork,P61P761,52,-8,bobrienns@gmail.com,02536121,Joanne O'Brien Kennelly,Cork County Council,N,No subjects through Irish,N,N,Catholic,45,50,95
2023,15718I,S N SEOSAMH COBH,Cobh,Co. Cork,,,Cork,P24P270,52,-8,office@stjosephsnscobh.com,0214812424,Eoin Kennedy,Cork County Council,N,No subjects through Irish,N,N,Catholic,,282,282
2023,15729N,RATHMULLEN N S,RATHMULLEN,CO DONEGAL,,,Donegal,F92VA89,55,-8,stjosephsrathmullan123@gmail.com,0749158388,Mrs Alma Curran,Donegal County Council,Y,No subjects through Irish,N,N,Catholic,57,71,128
2023,15763N,MOVILLE N S,Greencastle Road,Moville,Co. Donegal,,Donegal,F93PF77,55,-7,office@stcolumbs.ie,0749382851,Helena Walker,Donegal County Council,N,No subjects through Irish,N,N,Church Of Ireland,18,17,35
2023,15769C,MONASTEREVAN CONVENT,Drogheda Street,Monasterevin,Co. Kildare,,Kildare,W34P308,53,-7,saintevin@gmail.com,045525561,Declan Costello,Kildare County Council,N,No subjects through Irish,N,N,Catholic,282,74,356
2023,15770K,S N NAOMH NAILLE,Na Caologa,Inbhear,Co. Dh£n na nGall,,Donegal,F94RW28,55,-8,stnaulsnskeelogs@gmail.com,0749736416,Rory O'Donnell,Donegal County Council,N,No subjects through Irish,N,N,Catholic,43,63,106
2023,15778D,ST MARYS N S,Church Road,Nenagh,Co. Tipperary,,Tipperary,E45KT22,53,-8,stmarys2.ns@gmail.com,0860578538,Shirley Wallace,Tipperary (Nr) County Council,N,No subjects through Irish,N,N,Church Of Ireland,34,28,62
2023,15781P,BALLINTEMPLE N S,BALLINTEMPLE N S,CRAB LANE,CORK,,Cork,T12WA02,52,-8,oifig@ballintemplens.com,0214293608,Bryan McCarthy,Cork City Council,N,No subjects through Irish,N,N,Catholic,132,120,252
2023,15792U,UPPER GLANMIRE N S,Ballinvriskig,White's Cross,Co. Cork,,Cork,T23AE00,52,-8,ugns.principal@gmail.com,0214308885,Patrick O'Connell,Cork County Council,N,No subjects through Irish,N,N,Catholic,155,162,317
